"BankName","Scene","Description","Type","TimeCycle","Vendor"
"中国工商银行","DeepSeek大模型私有化部署","工商银行在同业中率先完成DeepSeek最新开源大模型的私有化部署，并将其接入行内""工银智涌""大模型矩阵体系。该行基于自主研发的大模型平台引入DeepSeek系列开源大模型底座，面向全行开放使用，推动金融业务场景智能化升级。","大模型技术部署","2025年3月完成部署","工商银行自主研发+DeepSeek开源模型"
"光大银行","授信调查与辅助审批","光大银行智能运营中心采购大模型GPU算力资源，用于授信调查、辅助审批场景应用大模型提升客户经理作业质效。项目中标金额1808.5万元，中标人为广州南天电脑系统有限公司。","大模型算力资源采购","2024年采购并实施","广州南天电脑系统有限公司"
"河南农村商业银行股份有限公司","大模型智能研发助手项目","大模型智能研发助手项目，包括智能编辑器IDE及其研发端插件模块、平台运营管理模块、流水线检测分析模块、服务开放模块、MCP服务与智能体Agent模块、硬件服务器模块等，采用软硬件一体化采购方案","国内公开招标","2025年9月24日中标结果公示","待确定"
"交通银行","流水分析、交易风险预测","交通银行云跨行数据分析软件采购项目，包含非直联数据分析、现金流预测、交易风险预测、可疑操作风险识别、非交易时间资金监控、客户操作行为分析等功能","软件采购","2024年7月启动","待定（招标中）"
"中国建设银行","智慧投行模型开发服务","建信金科发布智慧投行模型开发服务采购项目，预算1233万元。主要工作内容包括构建融资方案推荐智能模型体系、建立以投资者视角的产业链研究分析模型、建立非财务维度的企业评价模型、建立财务顾问模型等，其中至少2项涉及大模型应用。","技术服务采购","2024年9月招标，11月中标","安徽兆尹信息科技股份有限公司"
"广西农村商业联合银行","全面风险管理与模型管理","全面风险管理平台(含全面风险管理体系咨询服务)建设项目，功能包括风险管理驾驶舱、指标管理、风险限额管理、预警与处置、风险识别与评估、模型管理、系统管理等。支持多法人的全栈信创分布式微服务架构体系。","公开招标公告","2024年10月-11月，实施周期约12个月","待定（招标中）"
"山东省农村信用社联合社","信贷模型管理系统维保服务","信贷模型管理系统维保服务采购项目成交结果公示，中标金额27万元。该项目涉及信贷模型管理系统的维护服务，确保信贷模型系统的正常运行和持续优化。","成交结果公示","2024年7月","待确认（成交结果公示）"
"邮储银行","流水分析、风险分类、小额贷款审查","邮储银行山东省分行自主研发流水识别模型和风险分类模型，以图像识别+语义理解双轮驱动构建智能审查闭环，破解小额贷款审查难题，包括流水影像识别、自动勾稽关系校验、风险分类语言模型等","自主研发与模型建设","2024年实施","邮储银行山东省分行自主研发"
"广州农村商业银行股份有限公司","大模型协同计算平台采购","拟采购大模型协同计算平台，提升大模型应用能力，支持信贷业务等金融场景的智能化应用","拟采购项目","2025年3月相关信息","待确定"
"海南农村商业银行","整村授信智能展业","整村授信智能展业项目公开招标，项目预算1000万元，中标单位为重庆渝银金融科技有限责任公司，中标价格969万元。该项目涉及智能信贷展业系统建设。","公开招标公告及中标结果公示","2025年3月","重庆渝银金融科技有限责任公司"
"天津滨海农村商业银行股份有限公司","大数据平台及风险预警系统","大数据平台及风险预警系统采购项目，建立贷前贷中贷后全流程风险预警和大数据准入和信用评估机制，覆盖授信全部产品、流程贯穿业务始终","供应商征集","2025年3月13日发布公告","待确定"
"中国农业银行","线上信贷智能风控专利","农业银行申请""一种线上信贷智能风控方法、装置、存储介质及电子设备""专利，通过在信贷风险评估中整合多模态数据，用卷积神经网络和长短时记忆网络分别提取图像和音频特征，并与金融信用数据进行融合，生成综合的信贷特征向量，提升风险评估的全面性和精确性。","专利技术","2024年11月申请，2025年2月公布","农业银行自主研发"
"北京农商银行","产业数字金融接力服务平台建设","产业数字金融接力服务平台将应用大数据、模型算法、云计算等先进技术，实现数字获客、数字授信、数字用信和数字智能风控的全流程、全生命周期的产业数字金融业务模式，支持供应链产品、一般信贷产品以及其他创新信贷产品","成交公告","2025年4月成交","天阳宏业科技股份有限公司"
"青岛农商银行","企业级风控决策引擎项目","企业级风控决策引擎项目，预算298万元。搭建风险基础数据集市、构建风险指标及预警模型管理两个公共模块；针对公司类客户建设潜在风险客户管理、重点领域融资管理、贷中智能风险分析中心辅助审查工具等特色模块；针对全量客户建设监管四色客户管理；支持提供个人和对公客户实时预警服务。","招标公告","2024年11月","待确定（招标中）"
"广东顺德农村商业银行","智能化全流程授信运营","智能化全流程授信运营服务项目单一来源采购，在现有银联数据系统基础上增加营销展业功能，提供全流程全生命周期智能风控模型、客户运营模型、催收模型定制咨询服务，贷后催收服务。意向供应商为银联数据服务有限公司。","单一来源采购公告","2025年1月","银联数据服务有限公司"
"中国农业银行","贷款建档信息自动核对提示","农业银行申请""贷款建档信息自动核对提示方法、装置、设备和介质""专利，通过自动提取音视频中的对话信息，并对照贷款建档信息和对话文本进行内容分析，判断贷款建档信息是否有问题，对于有问题的地方及时进行风险提醒，并自动将风险出处对应位置的视频片段自动截取处理。","专利技术","2024年11月申请，2025年3月公布","农业银行自主研发"
"江西省农村信用社联合社","大数据风控系统风险模型建设","2024年度大数据风控系统风险模型建设项目，中标方为浙江邦盛科技股份有限公司。项目内容包括对公账户涉诈模型建设、个人账户涉诈模型建设、风险监测运营服务支持。","中标结果公告","2024年11月","浙江邦盛科技股份有限公司"
"华夏银行大连分行","房屋贷款智能化管理平台采购","房屋贷款智能化管理平台采购项目，以快速高效的完成房屋贷款业务投放为核心目标，以多维数据组合使用为重要实现手段，实现业务平稳合规运行、业务指标增长和风险压降三大目标。","供应商征集公告","2025年1月发布征集公告","待确定"
"天津滨海农村商业银行","对公评级模型优化及授信理论值测算优化咨询","对公评级模型优化及授信理论值测算优化咨询项目，通过优化对公客户评级模型和授信理论值测算方法，提升信贷审批的准确性和效率，完善信贷风险管理体系","成交结果公示","2024年8月成交","安永(中国)企业咨询有限公司"
"广东省农村信用社联合社","预期信用损失法模型验证优化","预期信用损失法模型验证优化项目招标预公告，实现广东农信二级法人体制下预期信用损失法实施的精细化管理，对预期信用损失进行常态化的监控和重检，根据监管要求定期开展投产前、投产后及第三方全面验证。","招标预公告","2024年10月","待定（招标阶段）"
"江苏张家港农村商业银行股份有限公司","大模型算力服务器及相关设备租赁","大模型算力服务器及相关设备租赁项目，通过竞争性磋商方式租赁大模型算力服务器及相关设备，支持银行大模型应用需求","竞争性磋商","2025年4月8日发布公告","待确定"
"海南农村商业银行股份有限公司","整村授信智能展业项目","整村授信智能展业项目，通过公开招标方式确定合作企业，预算1000万元，重庆渝银金融科技有限责任公司以969万元中标，提升整村授信业务的智能化水平","公开招标","2025年3月招标，3月26日结果公示","重庆渝银金融科技有限责任公司"
"河南农村商业银行股份有限公司","信贷AI智能双录系统项目","信贷AI智能双录系统建设和全行级音视频中台部署项目，预算660万元，双录系统对接信贷管理、核保等系统，以及互联网贷款平台、代销业务系统、银保通三个业务场景，要求可防'AI换脸'","公开招标","2025年8月招标，11月28日中标候选人公示","待确定"
"广东顺德农村商业银行股份有限公司","智能化全流程授信运营服务","智能化全流程授信运营服务项目，通过单一来源采购方式，增加营销展业功能，全流程全生命周期智能风控模型、客户运营模型、催收模型定制咨询服务，贷后催收服务","单一来源采购","2025年1月20日发布公告","银联数据服务有限公司"
